smell_ids,source_id,source_type,title,url,downloaded_path,file_bytes,downloaded_at,selected_reason
"2,5",KY-KRS-304-12-230,krs_statute,KRS 304.12-230 — Unfair Claims Settlement Practices Act,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=17009,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KRS-304-12-230.html,4418,2026-06-01T11:20:44,Foundational claims settlement statute; covers magic valuation language and regulatory mapping
"1,2,3,5",KY-KRS-304-14,krs_statute,KRS Chapter 304 Subtitle 14 — The Insurance Contract,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=55765,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KRS-304-14.html,16887,2026-06-01T11:20:41,Core insurance contract chapter; spans smells 1 through 3 and regulatory mapping
"1,3,5",KY-KAR-806-14-006,kar_regulation,806 KAR 14:006 — P&C Insurance Form Filings,https://apps.legislature.ky.gov/law/kar/titles/806/014/006/,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KAR-806-14-006.html,55872,2026-06-01T11:20:44,Primary KAR HTML source; targets form filing requirements and form approval standards
"4,5",KY-KAR-806-13-150,kar_regulation,806 KAR 13:150 — P&C Rate and Rule Filings,https://apps.legislature.ky.gov/law/kar/titles/806/013/150/,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KAR-806-13-150.html,88690,2026-06-01T11:20:46,Rate and rule filing regulation; primary smell-4 HTML source in this slice
"1,5",KY-DOI-BULLETIN-2026-01,doi_bulletin,DOI Bulletin 2026-01 — Use of Satellite and Aerial Imagery for Cancellations and Claim Denials,https://insurance.ky.gov/ppc/Documents/Bulletin%202026-01.pdf,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-DOI-BULLETIN-2026-01.pdf,127406,2026-06-01T11:20:58,Recent DOI bulletin; good smell-1 and smell-5 source (exclusion trigger language and regulatory mapping)
"2,3,5",KY-DOI-AO-2023-08,doi_bulletin,Advisory Opinion 2023-08 — Matching in Property Loss Settlement,https://insurance.ky.gov/ppc/Documents/Advisory%20Opinion%202023-08%20RE%20Matching%20Final.pdf,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-DOI-AO-2023-08.pdf,447173,2026-06-01T11:21:00,DOI advisory opinion on matching; rich source for magic valuation terms and coverage inversion
"1,2,3,4,5",KY-SERFF-KNIC-127064322,serff_rate_rule_filing,Kentucky National Insurance Company Homeowners Policy Program Manual Rate/Rule Filing (KNIC-127064322),https://www3.ambest.com/completefilings/KY_05_2011_601300_584481.pdf,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KNIC-127064322.pdf,988279,2026-06-01T11:21:03,Primary carrier form source; needed for smells 1 3 4 5; rate/rule manual with policy form language
"5",KY-DOI-AO-2024-01,doi_bulletin,DOI Advisory Opinion 2024-01,https://insurance.ky.gov/ppc/Documents/Advisory%20Opinion%202024-01.pdf,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-DOI-AO-2024-01.pdf,181095,2026-06-01T11:21:05,DOI advisory opinion 2024; regulatory mapping context and claims guidance (smell 5)
"1,2,3,4,5",KY-DOI-HO-CHECKLIST,doi_guidance,Kentucky DOI Homeowners Policy Form Filing Checklist,https://insurance.ky.gov/ppc/Documents/HO_Checklist.pdf,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-DOI-HO-CHECKLIST.pdf,180340,2026-06-01T11:21:06,DOI form filing checklist for homeowners policies; benchmark for all five smell categories
"4,5",KY-DOI-PC-DOCS-PAGE,doi_guidance,Kentucky DOI Property and Casualty Documents Page,https://insurance.ky.gov/ppc/,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-DOI-PC-DOCS-PAGE.html,128103,2026-06-01T11:21:07,DOI P&C documents page; rate filing guidance and regulatory index (smells 4 and 5)
"5",KY-DOI-SERFF-ACCESS,doi_guidance,Kentucky DOI SERFF Filing Access Instructions,https://insurance.ky.gov/ppc/Documents/SERFF_Access.pdf,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-DOI-SERFF-ACCESS.pdf,362679,2026-06-01T11:21:08,SERFF filing access procedural document; regulatory filing context for smell 5
"2,3,5",KY-KAR-806-12-095,kar_regulation,806 KAR 12:095 — Homeowners Insurance Regulation,https://apps.legislature.ky.gov/law/kar/titles/806/012/095/,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KAR-806-12-095.pdf,98338,2026-06-01T11:21:09,Homeowners-specific KAR regulation; valuation terms coverage conditions and regulatory mapping (smells 2 3 5)
"4",KY-KAR-806-13-110,kar_regulation,806 KAR 13:110 — Rate Standards for P&C Flex Rating,https://kyrules.elaws.us/code/crar_title806_chapter13_reg110,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KAR-806-13-110.html,46419,2026-06-01T11:21:10,P&C flex rating regulation; rate filing requirements and calculation drift context (smell 4)
"5",KY-KAR-806-20-010,kar_regulation,806 KAR 20:010 — Unfair Claims Settlement Practices,https://apps.legislature.ky.gov/law/kar/titles/806/020/010/,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KAR-806-20-010.html,38514,2026-06-01T11:21:11,Unfair claims settlement practices regulation; regulatory mapping reference for smell 5
"4,5",KY-KRS-304-13,krs_statute,KRS Chapter 304 Subtitle 13 — Rates,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38725,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KRS-304-13.pdf,9693,2026-06-01T11:21:12,Rates subtitle of the insurance code; rate regulation and calculation drift context (smells 4 and 5)
"1,2,5",KY-KRS-304-20,krs_statute,KRS Chapter 304 Subtitle 20 — Claims Practices,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38730,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KRS-304-20.html,27228,2026-06-01T11:21:13,Claims practices statute; overbroad exclusion triggers and regulatory mapping (smells 1 2 5)
"3,5",KY-KRS-304-44,krs_statute,KRS Chapter 304 Subtitle 44 — Property Insurance,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38764,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-KRS-304-44.html,21950,2026-06-01T11:21:14,Property insurance statute; coverage conditions and regulatory mapping (smells 3 and 5)
"1,2,3,5",KY-SERFF-KFBM-134503212-HO-FORM,serff_form_filing,Kentucky Farm Bureau Mutual HO 04-93 Homeowners Form (May 2025),https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134503212-HO-FORM.pdf,25528,2026-06-03T15:42:00,KFBM homeowners policy form May 2025; primary carrier form language for smells 1 2 3 5
"1,2,3,5",KY-SERFF-KFBM-134503212-HO-FORM-MARKUP,serff_form_filing,Kentucky Farm Bureau Mutual HO 04-93 Form Markup (2025 changes),https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134503212-HO-FORM-MARKUP.pdf,215371,2026-06-03T15:42:00,KFBM 2025 form markup showing changes from prior version; useful for coverage inversion and exclusion drift
"1,2,3,5",KY-SERFF-KFBM-133738601-HO-FORM-MARKUP,serff_form_filing,Kentucky Farm Bureau Mutual HO 04-93 Form Markup (2012 base),https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-133738601-HO-FORM-MARKUP.pdf,221498,2026-06-03T15:42:00,KFBM original 2012 HO form with markups; baseline form language for cross-version comparison
"1,3,5",KY-SERFF-KFBM-134827992-ENDORSEMENT,serff_form_filing,Kentucky Farm Bureau Mutual KY Amendatory Endorsement HO FB 01 07 26,https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134827992-ENDORSEMENT.pdf,20397,2026-06-03T15:43:00,KFBM KY-specific amendatory endorsement 2026; state-specific form modifications and exclusion language
"4,5",KY-SERFF-KFBM-134870230-UW-MANUAL,serff_rate_rule_filing,Kentucky Farm Bureau Mutual Homeowner Underwriting Manual HO-4.1,https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134870230-UW-MANUAL.pdf,339337,2026-06-03T15:43:00,KFBM underwriting manual pages; rate factor rules and underwriting guidelines (smell 4)
"4",KY-SERFF-KFBM-134870230-UW-MANUAL-CHANGES,serff_rate_rule_filing,Kentucky Farm Bureau Mutual Underwriting Manual Change Form,https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134870230-UW-MANUAL-CHANGES.pdf,362700,2026-06-03T15:43:00,KFBM underwriting manual change form; documents rule amendments and versioning (smell 4)
"5",KY-SERFF-KFBM-134870230-DOI-OBJECTION,serff_correspondence,Kentucky Farm Bureau Mutual DOI Objection Response (KNFB-134870230),https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134870230-DOI-OBJECTION.pdf,257896,2026-06-03T15:43:00,DOI objection and carrier response for UW manual filing; regulatory dialogue and compliance evidence (smell 5)
"4",KY-SERFF-KFBM-134870729-RATE-MANUAL-HOP1,serff_rate_rule_filing,Kentucky Farm Bureau Mutual Homeowner Rate Manual HOP-1,https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134870729-RATE-MANUAL-HOP1.pdf,140766,2026-06-03T15:43:00,KFBM homeowner rate manual part HOP-1; base rates and rating rules (smell 4)
"4",KY-SERFF-KFBM-134870729-RATE-MANUAL-HOP2,serff_rate_rule_filing,Kentucky Farm Bureau Mutual Homeowner Rate Manual HOP-2,https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134870729-RATE-MANUAL-HOP2.pdf,181610,2026-06-03T15:43:00,KFBM homeowner rate manual part HOP-2; rating factors and calculation rules (smell 4)
"4",KY-SERFF-KFBM-134870729-RATE-MANUAL-HOP2-1,serff_rate_rule_filing,Kentucky Farm Bureau Mutual Homeowner Rate Manual HOP-2.1,https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134870729-RATE-MANUAL-HOP2-1.pdf,136062,2026-06-03T15:43:00,KFBM homeowner rate manual part HOP-2.1; supplemental rating rules (smell 4)
"4",KY-SERFF-KFBM-134870729-RATE-MANUAL-HOP8,serff_rate_rule_filing,Kentucky Farm Bureau Mutual Homeowner Rate Manual HOP-8,https://filingaccess.serff.com/sfa/home/KY,D:\Repos\legal-tech-debt\corpus\kentucky-homeowners-policy-smells\sources\KY-SERFF-KFBM-134870729-RATE-MANUAL-HOP8.pdf,121882,2026-06-03T15:43:00,KFBM homeowner rate manual part HOP-8; miscellaneous rating rules and endorsement factors (smell 4)
