index,node_key,label,kind,section_id,document,line,title
0,section:1000,Section 1000,section,1000,commonwealth_auto_claims_playbook_synthetic.md,4,Scope and authority
1,section:1010,Section 1010,section,1010,commonwealth_auto_claims_playbook_synthetic.md,9,Kentucky intake classification
2,section:1020,Section 1020,section,1020,commonwealth_auto_claims_playbook_synthetic.md,14,Basic reparation benefits routing
3,section:1030,Section 1030,section,1030,commonwealth_auto_claims_playbook_synthetic.md,19,Proof validation and card evidence
4,section:1040,Section 1040,section,1040,commonwealth_auto_claims_playbook_synthetic.md,24,No-fault rejection handling
5,section:1050,Section 1050,section,1050,commonwealth_auto_claims_playbook_synthetic.md,29,Cancellation and nonrenewal hold
6,section:1060,Section 1060,section,1060,commonwealth_auto_claims_playbook_synthetic.md,34,Liability limit verification
7,section:1070,Section 1070,section,1070,commonwealth_auto_claims_playbook_synthetic.md,39,UM escalation and external authority
8,section:1080,Section 1080,section,1080,commonwealth_auto_claims_playbook_synthetic.md,44,Form and template update review
9,section:1090,Section 1090,section,1090,commonwealth_auto_claims_playbook_synthetic.md,49,Notice workflow
10,section:1100,Section 1100,section,1100,commonwealth_auto_claims_playbook_synthetic.md,54,Adverse action letter
11,section:1110,Section 1110,section,1110,commonwealth_auto_claims_playbook_synthetic.md,59,Producer communications
12,section:1120,Section 1120,section,1120,commonwealth_auto_claims_playbook_synthetic.md,64,Evidence packet
13,section:1200,Section 1200,section,1200,commonwealth_auto_claims_playbook_synthetic.md,69,Applicant disclosure intake
14,section:1300,Section 1300,section,1300,commonwealth_auto_claims_playbook_synthetic.md,74,Digital proof exception process
15,section:1400,Section 1400,section,1400,commonwealth_auto_claims_playbook_synthetic.md,79,Printed proof fallback
16,section:1500,Section 1500,section,1500,commonwealth_auto_claims_playbook_synthetic.md,84,Records retention
17,section:1600,Section 1600,section,1600,commonwealth_auto_claims_playbook_synthetic.md,88,Supervisory review
18,section:1700,Section 1700,section,1700,commonwealth_auto_claims_playbook_synthetic.md,93,Quality audit
19,section:304.20.020,Section 304.20.020,section,304.20.020,ky_auto_policy_notice_statute_synthetic.md,4,Uninsured vehicle coverage
20,section:304.20.040,Section 304.20.040,section,304.20.040,ky_auto_policy_notice_statute_synthetic.md,9,"Cancellation, nonrenewal, or termination of automobile insurance"
