"smell","smell_directory","source_id","source_type","title","official_source","url","downloaded_path","bytes","downloaded_at"
"1","01-overbroad-nondeterministic-exclusions","KY-DOI-BULLETIN-2026-01","doi_bulletin","DOI Bulletin 2026-01 — Use of Satellite and Aerial Imagery for Cancellations and Claim Denials","yes","https://insurance.ky.gov/ppc/Documents/Bulletin%202026-01.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\01-overbroad-nondeterministic-exclusions\KY-DOI-BULLETIN-2026-01.pdf","127406","2026-06-01T11:20:58"
"1","01-overbroad-nondeterministic-exclusions","KY-DOI-HO-CHECKLIST","doi_checklist","Review Requirements Checklist: Personal Dwelling Homeowners Mobile Homeowners and Farmowners (3rd Edition 02/2009)","yes","https://insurance.ky.gov/ppc/Documents/PersDwellingHomeowners050211.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\01-overbroad-nondeterministic-exclusions\KY-DOI-HO-CHECKLIST.pdf","180340","2026-06-01T11:20:51"
"1","01-overbroad-nondeterministic-exclusions","KY-KAR-806-14-006","kar_regulation","806 KAR 14:006 — P&C Insurance Form Filings","yes","https://apps.legislature.ky.gov/law/kar/titles/806/014/006/","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\01-overbroad-nondeterministic-exclusions\KY-KAR-806-14-006.html","55872","2026-06-01T11:20:44"
"1","01-overbroad-nondeterministic-exclusions","KY-KRS-304-14","krs_statute","KRS Chapter 304 Subtitle 14 — The Insurance Contract","yes","https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=55765","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\01-overbroad-nondeterministic-exclusions\KY-KRS-304-14.html","16887","2026-06-01T11:20:41"
"1","01-overbroad-nondeterministic-exclusions","KY-KRS-304-20","krs_statute","KRS Chapter 304 Subtitle 20 — Casualty Insurance Contracts","yes","https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38730","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\01-overbroad-nondeterministic-exclusions\KY-KRS-304-20.html","27181","2026-06-01T11:20:43"
"1","01-overbroad-nondeterministic-exclusions","KY-SERFF-KNIC-127064322","serff_rate_rule_filing","Kentucky National Insurance Company Homeowners Policy Program Manual Rate/Rule Filing (KNIC-127064322) — Full Pipeline PDF via AM Best","yes","https://www3.ambest.com/completefilings/KY_05_2011_601300_584481.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\01-overbroad-nondeterministic-exclusions\KY-SERFF-KNIC-127064322.pdf","988279","2026-06-01T11:21:03"
"2","02-magic-number-magic-valuation-terms","KY-DOI-AO-2023-08","doi_bulletin","Advisory Opinion 2023-08 — Matching in Property Loss Settlement (806 KAR 12:095 Section 9)","yes","https://insurance.ky.gov/ppc/Documents/Advisory%20Opinion%202023-08%20RE%20Matching%20Final.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\02-magic-number-magic-valuation-terms\KY-DOI-AO-2023-08.pdf","447173","2026-06-01T11:21:00"
"2","02-magic-number-magic-valuation-terms","KY-DOI-HO-CHECKLIST","doi_checklist","Review Requirements Checklist: Personal Dwelling Homeowners Mobile Homeowners and Farmowners (3rd Edition 02/2009)","yes","https://insurance.ky.gov/ppc/Documents/PersDwellingHomeowners050211.pdf","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\02-magic-number-magic-valuation-terms\KY-DOI-HO-CHECKLIST.pdf","180340","2026-06-01T11:20:52"
"2","02-magic-number-magic-valuation-terms","KY-KAR-806-12-095","kar_regulation","806 KAR 12:095 — Unfair Claims Settlement Practices for P&C","yes","https://apps.legislature.ky.gov/services/karmaservice/documents/7539/ToPDF?markup=false","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\02-magic-number-magic-valuation-terms\KY-KAR-806-12-095.pdf","98338","2026-06-01T11:20:48"
"2","02-magic-number-magic-valuation-terms","KY-KRS-304-12-230","krs_statute","KRS 304.12-230 — Unfair Claims Settlement Practices Act","yes","https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=17009","D:\Repos\legal-tech-debt\sandboxes\002-claims-regulatory-automation\corpus\02-magic-number-magic-valuation-terms\KY-KRS-304-12-230.html","4418","2026-06-01T11:20:44"
